2025.12.10 03:29:25 - OnInit() started
2025.12.10 03:29:25 - === 开始计算神龙通道指标 ===
2025.12.10 03:29:25 - 数据总数: 2119, 先前计算: 0
2025.12.10 03:29:25 - 当前时间: 2025.12.10 00:00, 计算范围: 0-1970
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.09.25 12:00:00, g116_0=2629.722624, g116_1=2628.334624, g120_0=2665.744800, g120_1=2664.296368, slld0_0=2547.627014, slld8_0=2487.867120, low_0=2653.800000, low_1=2651.230000, high_0=2665.750000, high_1=2659.680000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.09.26 12:00:00, g116_0=2635.118160, g116_1=2634.563328, g120_0=2672.282928, g120_1=2671.491744, slld0_0=2563.869589, slld8_0=2504.486629, low_0=2654.940000, low_1=2657.830000, high_0=2685.430000, high_1=2670.330000
2025.12.10 03:29:25 - BUY | Time=2024.09.30 12:00:00, g116_0=2634.893664, g116_1=2635.201056, g120_0=2673.680592, g120_1=2673.897120, slld0_0=2593.990017, slld8_0=2533.833863, low_0=2630.460000, low_1=2648.440000, high_0=2650.140000, high_1=2660.430000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.10.04 16:00:00, g116_0=2625.119760, g116_1=2625.987584, g120_0=2666.342880, g120_1=2667.164144, slld0_0=2632.761951, slld8_0=2570.493761, low_0=2641.950000, low_1=2631.610000, high_0=2669.720000, high_1=2662.420000
2025.12.10 03:29:25 - BUY | Time=2024.10.08 16:00:00, g116_0=2614.519856, g116_1=2615.196944, g120_0=2654.562560, g120_1=2655.428240, slld0_0=2645.053604, slld8_0=2580.745244, low_0=2604.620000, low_1=2636.810000, high_0=2640.630000, high_1=2652.850000
2025.12.10 03:29:25 - BUY | Time=2024.10.09 08:00:00, g116_0=2613.123920, g116_1=2613.342688, g120_0=2651.719136, g120_1=2652.251824, slld0_0=2647.571666, slld8_0=2582.425536, low_0=2609.010000, low_1=2614.880000, high_0=2619.540000, high_1=2624.160000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.10.11 16:00:00, g116_0=2624.352240, g116_1=2622.829168, g120_0=2659.624512, g120_1=2658.294736, slld0_0=2649.392715, slld8_0=2585.068001, low_0=2646.320000, low_1=2636.930000, high_0=2661.480000, high_1=2653.410000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.10.14 08:00:00, g116_0=2631.005168, g116_1=2629.213200, g120_0=2665.570160, g120_1=2663.987280, slld0_0=2650.641236, slld8_0=2586.857935, low_0=2656.680000, low_1=2643.060000, high_0=2666.660000, high_1=2660.570000
2025.12.10 03:29:25 - BUY | Time=2024.10.15 04:00:00, g116_0=2640.808352, g116_1=2638.745696, g120_0=2674.719296, g120_1=2672.668256, slld0_0=2653.037755, slld8_0=2589.880019, low_0=2638.110000, low_1=2647.130000, high_0=2652.590000, high_1=2651.070000
2025.12.10 03:29:25 - BUY | Time=2024.10.17 12:00:00, g116_0=2674.535760, g116_1=2672.021392, g120_0=2707.395936, g120_1=2704.851280, slld0_0=2662.251012, slld8_0=2600.787553, low_0=2673.120000, low_1=2676.830000, high_0=2689.590000, high_1=2685.550000
