2025.12.10 04:09:29 - OnInit() started
2025.12.10 04:09:29 - === 开始计算神龙通道指标 ===
2025.12.10 04:09:29 - 数据总数: 2120, 先前计算: 0
2025.12.10 04:09:29 - 当前时间: 2025.12.10 04:00, 计算范围: 0-770
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.07.14 00:00:00, g116_0=3314.868800, g116_1=3314.140800, g120_0=3361.236224, g120_1=3360.196368, slld0_0=3324.884265, slld8_0=3240.198742, low_0=3357.070000, low_1=3353.020000, high_0=3373.700000, high_1=3359.380000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.07.14 08:00:00, g116_0=3316.082640, g116_1=3315.529856, g120_0=3363.076512, g120_1=3362.157344, slld0_0=3326.976244, slld8_0=3243.018245, low_0=3356.270000, low_1=3353.500000, high_0=3374.570000, high_1=3361.590000
2025.12.10 04:09:29 - BUY | Time=2025.07.16 16:00:00, g116_0=3321.728240, g116_1=3321.095152, g120_0=3371.081552, g120_1=3370.262704, slld0_0=3342.962474, slld8_0=3260.189434, low_0=3319.480000, low_1=3321.850000, high_0=3377.360000, high_1=3340.540000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.07.16 16:00:00, g116_0=3321.728240, g116_1=3321.095152, g120_0=3371.081552, g120_1=3370.262704, slld0_0=3342.962474, slld8_0=3260.189434, low_0=3319.480000, low_1=3321.850000, high_0=3377.360000, high_1=3340.540000
2025.12.10 04:09:29 - BUY | Time=2025.07.17 08:00:00, g116_0=3325.955008, g116_1=3324.761824, g120_0=3374.345440, g120_1=3373.366144, slld0_0=3346.875220, slld8_0=3263.313992, low_0=3324.890000, low_1=3335.850000, high_0=3340.040000, high_1=3344.960000
2025.12.10 04:09:29 - BUY | Time=2025.07.18 04:00:00, g116_0=3333.763168, g116_1=3331.999344, g120_0=3381.436288, g120_1=3379.772784, slld0_0=3350.489340, slld8_0=3266.602151, low_0=3333.320000, low_1=3335.230000, high_0=3344.050000, high_1=3343.790000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.07.21 16:00:00, g116_0=3351.012608, g116_1=3349.161936, g120_0=3398.304608, g120_1=3396.589824, slld0_0=3356.242044, slld8_0=3273.960936, low_0=3386.090000, low_1=3362.750000, high_0=3401.410000, high_1=3395.090000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.07.22 00:00:00, g116_0=3354.081408, g116_1=3352.692272, g120_0=3401.324256, g120_1=3399.872672, slld0_0=3358.041726, slld8_0=3276.212839, low_0=3384.940000, low_1=3392.870000, high_0=3402.560000, high_1=3399.680000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.07.22 12:00:00, g116_0=3357.102688, g116_1=3356.345600, g120_0=3404.564032, g120_1=3403.608944, slld0_0=3361.133573, slld8_0=3280.000178, low_0=3385.750000, low_1=3383.090000, high_0=3419.970000, high_1=3390.470000
2025.12.10 04:09:29 - BUY | Time=2025.07.25 16:00:00, g116_0=3327.477952, g116_1=3330.443776, g120_0=3374.270416, g120_1=3377.187856, slld0_0=3385.976352, slld8_0=3304.630409, low_0=3325.240000, low_1=3336.790000, high_0=3345.070000, high_1=3348.320000
2025.12.10 04:09:29 - BUY | Time=2025.07.28 00:00:00, g116_0=3321.513824, g116_1=3324.515664, g120_0=3368.502560, g120_1=3371.356704, slld0_0=3386.600313, slld8_0=3305.713606, low_0=3320.360000, low_1=3336.040000, high_0=3338.640000, high_1=3340.150000
2025.12.10 04:09:29 - BUY | Time=2025.07.28 12:00:00, g116_0=3312.710688, g116_1=3315.673632, g120_0=3360.198432, g120_1=3362.850480, slld0_0=3386.898083, slld8_0=3306.478240, low_0=3302.080000, low_1=3332.110000, high_0=3338.490000, high_1=3345.190000
2025.12.10 04:09:29 - CLOSE-SELL | Time=2025.07.30 16:00:00, g116_0=3293.767184, g116_1=3294.068080, g120_0=3345.724496, g120_1=3345.605152, slld0_0=3381.897498, slld8_0=3302.718132, low_0=3288.870000, low_1=3298.250000, high_0=3308.200000, high_1=3332.820000
2025.12.10 04:09:29 - CLOSE-SELL | Time=2025.07.31 12:00:00, g116_0=3296.864880, g116_1=3295.741728, g120_0=3349.290672, g120_1=3348.163344, slld0_0=3379.312693, slld8_0=3298.956543, low_0=3293.620000, low_1=3297.650000, high_0=3310.970000, high_1=3314.650000
2025.12.10 04:09:29 - SELL | Time=2025.08.04 00:00:00, g116_0=3315.704768, g116_1=3313.102624, g120_0=3367.366448, g120_1=3364.957744, slld0_0=3374.239079, slld8_0=3291.958245, low_0=3344.640000, low_1=3345.760000, high_0=3368.650000, high_1=3361.160000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.08.04 12:00:00, g116_0=3323.582512, g116_1=3320.986672, g120_0=3374.416912, g120_1=3372.054736, slld0_0=3374.077456, slld8_0=3290.839212, low_0=3352.900000, low_1=3351.370000, high_0=3384.770000, high_1=3362.220000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.08.05 00:00:00, g116_0=3331.040912, g116_1=3328.713360, g120_0=3381.173504, g120_1=3378.894720, slld0_0=3374.720708, slld8_0=3291.027870, low_0=3373.110000, low_1=3372.640000, high_0=3381.810000, high_1=3376.520000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.08.05 16:00:00, g116_0=3339.513664, g116_1=3337.465696, g120_0=3389.412400, g120_1=3387.533056, slld0_0=3376.577969, slld8_0=3292.714112, low_0=3370.180000, low_1=3349.760000, high_0=3390.030000, high_1=3379.510000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.08.07 20:00:00, g116_0=3348.947968, g116_1=3349.253024, g120_0=3400.954912, g120_1=3401.016608, slld0_0=3384.719399, slld8_0=3303.124752, low_0=3387.210000, low_1=3375.660000, high_0=3401.500000, high_1=3392.850000
2025.12.10 04:09:29 - CLOSE-BUY | Time=2025.08.08 08:00:00, g116_0=3347.376624, g116_1=3348.022944, g120_0=3400.000944, g120_1=3400.428528, slld0_0=3387.201359, slld8_0=3305.477443, low_0=3388.600000, low_1=3383.380000, high_0=3404.080000, high_1=3399.150000
